ID,Lable,Weight
LOC_Os11g04670,LOC_Os11g04670,12
LOC_Os12g04440,LOC_Os12g04440,12
LOC_Os01g07950,LOC_Os01g07950,13
LOC_Os01g34620,LOC_Os01g34620,13
LOC_Os02g42400,LOC_Os02g42400,13
LOC_Os03g11990,LOC_Os03g11990,13
LOC_Os01g10580,LOC_Os01g10580,14
LOC_Os01g48060,LOC_Os01g48060,14
LOC_Os09g27450,LOC_Os09g27450,14
LOC_Os12g01180,LOC_Os12g01180,14
LOC_Os03g60080,LOC_Os03g60080,15
LOC_Os05g46020,LOC_Os05g46020,15
LOC_Os05g49420,LOC_Os05g49420,15
LOC_Os10g30719,LOC_Os10g30719,15
LOC_Os02g56270,LOC_Os02g56270,16
LOC_Os03g02150,LOC_Os03g02150,16
LOC_Os12g10560,LOC_Os12g10560,16
LOC_Os02g02400,LOC_Os02g02400,17
LOC_Os03g03910,LOC_Os03g03910,17
LOC_Os06g51150,LOC_Os06g51150,17
LOC_Os01g62900,LOC_Os01g62900,18
LOC_Os05g38150,LOC_Os05g38150,18
LOC_Os08g29570,LOC_Os08g29570,18
LOC_Os02g30630,LOC_Os02g30630,19
LOC_Os04g31960,LOC_Os04g31960,19
LOC_Os04g32010,LOC_Os04g32010,19
LOC_Os03g55280,LOC_Os03g55280,20
LOC_Os04g41490,LOC_Os04g41490,20
LOC_Os07g29420,LOC_Os07g29420,20
LOC_Os11g42350,LOC_Os11g42350,21
LOC_Os12g16200,LOC_Os12g16200,21
LOC_Os12g34380,LOC_Os12g34380,21
LOC_Os01g46970,LOC_Os01g46970,22
LOC_Os02g16680,LOC_Os02g16680,22
LOC_Os08g42550,LOC_Os08g42550,22
LOC_Os01g65370,LOC_Os01g65370,23
LOC_Os04g52090,LOC_Os04g52090,23
LOC_Os05g41780,LOC_Os05g41780,23
LOC_Os06g22760,LOC_Os06g22760,24
LOC_Os07g40780,LOC_Os07g40780,24
LOC_Os09g39850,LOC_Os09g39850,24
LOC_Os02g15350,LOC_Os02g15350,25
LOC_Os02g35690,LOC_Os02g35690,25
LOC_Os09g31300,LOC_Os09g31300,25
